scrape_time_utc,river_level,measurement_time
2025-12-19T16:55:29.443795Z,0.81m,2025-12-19T16:15:00Z
2025-12-19T17:32:54.169019Z,0.80m,2025-12-19T16:45:00Z
2025-12-19T17:44:05.240019Z,0.79m,2025-12-19T17:15:00Z
2025-12-19T18:58:41.196517Z,0.80m,2025-12-19T18:00:00Z
2025-12-19T19:44:11.761206Z,0.81m,2025-12-19T19:15:00Z
2025-12-19T20:45:05.679243Z,0.81m,2025-12-19T20:15:00Z
2025-12-19T21:46:31.796587Z,0.79m,2025-12-19T21:15:00Z
2025-12-20T03:43:56.556819Z,0.73m,2025-12-20T03:15:00Z
2025-12-20T04:44:12.642946Z,0.73m,2025-12-20T04:15:00Z
2025-12-20T05:46:31.273177Z,0.72m,2025-12-20T05:15:00Z
2025-12-20T06:56:57.315913Z,0.72m,2025-12-20T06:00:00Z
2025-12-20T07:44:44.182502Z,0.71m,2025-12-20T07:15:00Z
2025-12-20T08:50:45.212001Z,0.71m,2025-12-20T08:15:00Z
2025-12-20T09:36:58.968078Z,0.71m,2025-12-20T08:45:00Z
2025-12-20T09:46:14.936516Z,0.71m,2025-12-20T09:15:00Z
2025-12-20T10:42:22.686024Z,0.71m,2025-12-20T10:15:00Z
2025-12-20T11:30:23.997705Z,0.71m,2025-12-20T10:45:00Z
2025-12-20T11:43:52.773690Z,0.71m,2025-12-20T11:00:00Z
2025-12-20T13:36:10.305439Z,0.71m,2025-12-20T12:45:00Z
2025-12-20T13:48:43.393806Z,0.70m,2025-12-20T13:15:00Z
2025-12-20T14:39:12.972783Z,0.70m,2025-12-20T14:15:00Z
2025-12-20T15:46:41.155211Z,0.70m,2025-12-20T15:15:00Z
2025-12-20T16:58:45.628380Z,0.70m,2025-12-20T16:00:00Z
2025-12-20T17:35:17.760540Z,0.70m,2025-12-20T16:45:00Z
2025-12-20T17:44:11.418995Z,0.69m,2025-12-20T17:15:00Z
2025-12-20T18:51:39.492608Z,0.70m,2025-12-20T18:15:00Z
2025-12-20T19:28:36.686022Z,0.70m,2025-12-20T18:45:00Z
2025-12-20T19:43:50.404990Z,0.70m,2025-12-20T19:15:00Z
2025-12-20T20:38:33.834210Z,0.70m,2025-12-20T20:15:00Z
2025-12-20T21:32:52.953247Z,0.70m,2025-12-20T20:45:00Z
2025-12-20T22:39:51.419908Z,0.70m,2025-12-20T21:45:00Z
2025-12-21T03:58:55.259721Z,0.69m,2025-12-21T03:15:00Z
2025-12-21T04:58:24.451792Z,0.69m,2025-12-21T04:15:00Z
2025-12-21T05:59:26.347292Z,0.69m,2025-12-21T05:15:00Z
2025-12-21T06:58:00.766255Z,0.69m,2025-12-21T06:15:00Z
2025-12-21T07:35:15.715915Z,0.69m,2025-12-21T06:45:00Z
2025-12-21T07:45:10.965466Z,0.69m,2025-12-21T07:15:00Z
2025-12-21T08:51:19.947136Z,0.69m,2025-12-21T08:15:00Z
2025-12-21T09:38:09.523701Z,0.69m,2025-12-21T09:15:00Z
2025-12-21T10:44:42.236347Z,0.69m,2025-12-21T10:15:00Z
2025-12-21T11:32:18.486909Z,0.69m,2025-12-21T10:45:00Z
2025-12-21T11:44:19.798373Z,0.69m,2025-12-21T11:15:00Z
2025-12-21T13:38:01.948499Z,0.69m,2025-12-21T13:15:00Z
2025-12-21T14:40:56.880090Z,0.69m,2025-12-21T14:15:00Z
2025-12-21T15:37:05.262174Z,0.69m,2025-12-21T14:45:00Z
2025-12-21T15:46:24.753146Z,0.69m,2025-12-21T15:15:00Z
2025-12-21T17:37:30.948399Z,0.69m,2025-12-21T17:15:00Z
2025-12-21T19:26:14.775983Z,0.69m,2025-12-21T18:45:00Z
2025-12-21T19:44:29.492281Z,0.69m,2025-12-21T19:15:00Z
2025-12-21T20:41:20.408059Z,0.69m,2025-12-21T19:45:00Z
2025-12-21T21:34:03.686300Z,0.69m,2025-12-21T20:30:00Z
2025-12-21T21:45:11.191183Z,0.69m,2025-12-21T21:15:00Z
2025-12-21T22:42:29.944283Z,0.69m,2025-12-21T21:45:00Z
2025-12-22T05:02:31.958807Z,0.69m,2025-12-22T04:15:00Z
2025-12-22T05:49:20.524450Z,0.69m,2025-12-22T05:15:00Z
2025-12-22T07:02:33.778558Z,0.69m,2025-12-22T06:15:00Z
2025-12-22T07:59:31.404334Z,0.69m,2025-12-22T07:15:00Z
2025-12-22T08:58:52.455094Z,0.70m,2025-12-22T08:15:00Z
2025-12-22T09:54:04.533992Z,0.71m,2025-12-22T09:15:00Z
2025-12-22T10:59:26.247496Z,0.73m,2025-12-22T10:15:00Z
2025-12-22T11:46:40.066901Z,0.74m,2025-12-22T11:15:00Z
2025-12-22T13:59:45.796131Z,0.73m,2025-12-22T13:15:00Z
2025-12-22T14:59:00.986793Z,0.72m,2025-12-22T14:15:00Z
2025-12-22T15:59:33.958184Z,0.71m,2025-12-22T15:15:00Z
2025-12-22T16:56:11.306947Z,0.70m,2025-12-22T16:15:00Z
2025-12-22T17:39:20.563153Z,0.70m,2025-12-22T17:15:00Z
2025-12-22T19:31:49.949160Z,0.70m,2025-12-22T18:45:00Z
2025-12-22T19:44:32.369871Z,0.70m,2025-12-22T19:15:00Z
2025-12-22T20:45:39.417828Z,0.69m,2025-12-22T20:15:00Z
2025-12-23T03:56:55.787414Z,0.69m,2025-12-23T03:15:00Z
2025-12-23T05:00:11.424708Z,0.69m,2025-12-23T04:15:00Z
2025-12-23T05:52:01.304538Z,0.68m,2025-12-23T05:15:00Z
2025-12-23T07:02:27.820123Z,0.68m,2025-12-23T06:15:00Z
2025-12-23T08:58:30.802294Z,0.68m,2025-12-23T08:00:00Z
2025-12-23T09:49:36.791027Z,0.68m,2025-12-23T09:15:00Z
2025-12-23T10:52:14.338563Z,0.68m,2025-12-23T10:15:00Z
2025-12-23T11:32:38.550076Z,0.68m,2025-12-23T10:45:00Z
2025-12-23T11:48:37.619978Z,0.68m,2025-12-23T11:15:00Z
2025-12-23T14:00:27.067695Z,0.68m,2025-12-23T13:15:00Z
