scrape_time_utc,river_level,measurement_time
2026-01-03T19:27:32.107972Z,0.50m,2026-01-03T18:45:00Z
2026-01-03T19:44:33.104236Z,0.50m,2026-01-03T19:15:00Z
2026-01-03T20:43:59.842507Z,0.50m,2026-01-03T20:15:00Z
2026-01-03T22:44:06.262970Z,0.50m,2026-01-03T22:15:00Z
2026-01-03T23:37:25.678342Z,0.50m,2026-01-03T22:45:00Z
2026-01-04T04:24:08.436501Z,0.50m,2026-01-04T03:45:00Z
2026-01-04T05:44:41.349831Z,0.50m,2026-01-04T05:15:00Z
2026-01-04T07:02:27.389506Z,0.50m,2026-01-04T06:15:00Z
2026-01-04T07:50:27.200484Z,0.50m,2026-01-04T07:15:00Z
2026-01-04T08:56:15.133105Z,0.50m,2026-01-04T08:15:00Z
2026-01-04T09:48:45.335841Z,0.50m,2026-01-04T09:15:00Z
2026-01-04T10:45:48.274098Z,0.50m,2026-01-04T10:15:00Z
2026-01-04T11:32:20.099668Z,0.50m,2026-01-04T10:45:00Z
2026-01-04T11:44:33.971130Z,0.50m,2026-01-04T11:15:00Z
2026-01-04T13:46:28.593355Z,0.50m,2026-01-04T13:15:00Z
2026-01-04T14:43:52.606883Z,0.50m,2026-01-04T14:15:00Z
2026-01-04T15:45:41.394113Z,0.50m,2026-01-04T15:15:00Z
2026-01-04T16:56:22.229235Z,0.50m,2026-01-04T16:15:00Z
2026-01-04T17:45:09.800160Z,0.50m,2026-01-04T17:15:00Z
2026-01-04T19:00:37.745392Z,0.50m,2026-01-04T18:15:00Z
2026-01-04T19:45:06.576244Z,0.50m,2026-01-04T19:15:00Z
2026-01-04T20:45:58.946671Z,0.50m,2026-01-04T20:15:00Z
2026-01-04T21:47:23.167581Z,0.50m,2026-01-04T21:15:00Z
2026-01-04T22:59:21.611817Z,0.50m,2026-01-04T21:45:00Z
2026-01-04T23:51:30.463789Z,0.50m,2026-01-04T22:45:00Z
2026-01-05T05:59:38.848563Z,0.50m,2026-01-05T05:15:00Z
2026-01-05T07:43:48.544395Z,0.50m,2026-01-05T07:15:00Z
2026-01-05T09:58:15.246700Z,0.50m,2026-01-05T09:00:00Z
2026-01-05T11:37:52.456299Z,0.50m,2026-01-05T11:15:00Z
2026-01-05T16:55:59.982827Z,0.51m,2026-01-05T16:15:00Z
2026-01-05T17:50:13.840498Z,0.51m,2026-01-05T17:15:00Z
2026-01-05T19:38:23.753535Z,0.51m,2026-01-05T19:15:00Z
2026-01-05T20:49:38.287798Z,0.52m,2026-01-05T20:15:00Z
2026-01-05T21:42:52.722413Z,0.50m,2026-01-05T20:45:00Z
2026-01-05T22:48:55.699833Z,0.50m,2026-01-05T21:45:00Z
2026-01-06T04:00:42.510824Z,0.50m,2026-01-06T03:15:00Z
2026-01-06T06:00:27.752160Z,0.50m,2026-01-06T05:15:00Z
2026-01-06T07:47:55.933514Z,0.50m,2026-01-06T07:00:00Z
2026-01-06T09:00:42.005442Z,0.50m,2026-01-06T08:15:00Z
2026-01-06T09:52:55.361416Z,0.50m,2026-01-06T09:15:00Z
2026-01-06T10:53:53.425626Z,0.50m,2026-01-06T10:15:00Z
2026-01-06T11:33:02.094587Z,0.50m,2026-01-06T10:45:00Z
2026-01-06T11:49:08.303192Z,0.50m,2026-01-06T11:15:00Z
2026-01-06T13:52:48.604409Z,0.50m,2026-01-06T13:15:00Z
2026-01-06T14:51:17.476679Z,0.50m,2026-01-06T14:15:00Z
2026-01-06T15:49:11.418280Z,0.51m,2026-01-06T15:15:00Z
2026-01-06T17:59:20.670533Z,0.52m,2026-01-06T17:15:00Z
2026-01-07T07:03:57.790747Z,0.50m,2026-01-07T06:15:00Z
2026-01-07T07:47:34.160386Z,0.50m,2026-01-07T07:15:00Z
2026-01-07T09:02:35.937108Z,0.50m,2026-01-07T08:15:00Z
2026-01-07T09:54:33.342486Z,0.50m,2026-01-07T09:15:00Z
2026-01-07T10:51:23.447119Z,0.50m,2026-01-07T09:45:00Z
2026-01-07T11:39:19.813523Z,0.50m,2026-01-07T10:45:00Z
2026-01-07T15:51:09.598530Z,0.50m,2026-01-07T14:15:00Z
2026-01-08T03:55:58.158410Z,0.51m,2026-01-08T03:15:00Z
2026-01-08T05:02:01.907549Z,0.50m,2026-01-08T04:15:00Z
2026-01-08T07:00:08.889104Z,0.50m,2026-01-08T06:00:00Z
2026-01-08T07:45:44.186292Z,0.50m,2026-01-08T07:15:00Z
2026-01-08T10:53:02.681933Z,0.50m,2026-01-08T10:15:00Z
2026-01-09T04:00:34.765269Z,0.50m,2026-01-09T03:15:00Z
2026-01-09T05:52:14.099060Z,0.50m,2026-01-09T05:15:00Z
2026-01-09T07:00:33.519134Z,0.50m,2026-01-09T06:15:00Z
2026-01-09T07:47:09.593382Z,0.50m,2026-01-09T07:15:00Z
2026-01-09T09:55:51.113800Z,0.50m,2026-01-09T09:15:00Z
2026-01-09T10:51:01.271288Z,0.50m,2026-01-09T10:00:00Z
2026-01-09T11:38:35.878131Z,0.50m,2026-01-09T11:15:00Z
2026-01-09T13:57:43.128106Z,0.51m,2026-01-09T13:15:00Z
2026-01-09T15:50:44.891658Z,0.43m,2026-01-09T15:15:00Z
2026-01-09T17:05:14.581879Z,0.43m,2026-01-09T16:15:00Z
2026-01-09T17:55:17.677113Z,0.43m,2026-01-09T17:15:00Z
2026-01-09T19:36:21.484402Z,0.43m,2026-01-09T18:45:00Z
2026-01-09T19:49:14.950903Z,0.43m,2026-01-09T19:15:00Z
2026-01-09T20:48:23.863451Z,0.43m,2026-01-09T20:15:00Z
2026-01-09T21:40:48.307697Z,0.43m,2026-01-09T21:15:00Z
2026-01-09T22:48:00.452321Z,0.43m,2026-01-09T22:15:00Z
2026-01-10T03:53:17.217991Z,0.43m,2026-01-10T03:15:00Z
2026-01-10T05:59:01.629614Z,0.43m,2026-01-10T05:15:00Z
2026-01-10T06:57:46.572233Z,0.43m,2026-01-10T06:15:00Z
2026-01-10T07:45:56.731759Z,0.43m,2026-01-10T07:15:00Z
2026-01-10T08:53:19.674214Z,0.43m,2026-01-10T08:15:00Z
2026-01-10T09:36:30.508949Z,0.43m,2026-01-10T08:45:00Z
2026-01-10T10:04:07.975321Z,0.43m,2026-01-10T09:15:00Z
2026-01-10T10:51:00.125450Z,0.43m,2026-01-10T10:15:00Z
2026-01-10T11:50:58.657269Z,0.43m,2026-01-10T11:15:00Z
2026-01-10T13:44:58.379934Z,0.43m,2026-01-10T13:15:00Z
2026-01-10T14:44:12.950321Z,0.43m,2026-01-10T14:15:00Z
2026-01-10T15:53:39.360584Z,0.43m,2026-01-10T15:15:00Z
2026-01-10T16:50:37.228717Z,0.43m,2026-01-10T16:15:00Z
2026-01-10T17:39:04.444113Z,0.43m,2026-01-10T17:15:00Z
2026-01-10T18:56:10.603054Z,0.43m,2026-01-10T18:15:00Z
2026-01-11T04:21:56.001819Z,0.49m,2026-01-11T03:45:00Z
2026-01-11T05:42:59.247355Z,0.50m,2026-01-11T05:15:00Z
2026-01-11T07:00:18.236498Z,0.50m,2026-01-11T06:15:00Z
2026-01-11T07:40:38.788674Z,0.49m,2026-01-11T07:15:00Z
2026-01-11T08:53:22.769127Z,0.49m,2026-01-11T08:15:00Z
2026-01-11T09:44:11.393491Z,0.49m,2026-01-11T09:15:00Z
2026-01-11T10:52:38.878663Z,0.50m,2026-01-11T10:15:00Z
2026-01-11T11:37:41.796626Z,0.51m,2026-01-11T11:15:00Z
2026-01-11T13:47:12.622638Z,0.54m,2026-01-11T13:15:00Z
2026-01-11T14:48:02.434555Z,0.54m,2026-01-11T14:15:00Z
2026-01-11T15:39:23.538975Z,0.53m,2026-01-11T15:15:00Z
2026-01-11T17:00:23.207221Z,0.55m,2026-01-11T16:15:00Z
2026-01-11T17:40:11.628671Z,0.57m,2026-01-11T16:30:00Z
2026-01-12T05:48:16.930341Z,1.40m,2026-01-12T05:15:00Z
2026-01-12T07:49:17.922802Z,1.11m,2026-01-12T07:15:00Z
2026-01-12T09:03:49.031849Z,1.01m,2026-01-12T08:15:00Z
2026-01-12T09:57:42.105883Z,0.96m,2026-01-12T09:15:00Z
2026-01-12T10:55:31.233430Z,0.93m,2026-01-12T10:15:00Z
2026-01-12T11:59:28.232613Z,0.91m,2026-01-12T11:15:00Z
2026-01-12T14:59:39.335042Z,0.81m,2026-01-12T14:15:00Z
2026-01-12T15:55:07.233530Z,0.80m,2026-01-12T14:45:00Z
2026-01-13T03:56:04.679141Z,0.51m,2026-01-13T03:15:00Z
2026-01-13T05:03:56.568384Z,0.51m,2026-01-13T03:45:00Z
2026-01-13T05:59:44.823815Z,0.51m,2026-01-13T05:00:00Z
2026-01-13T07:02:53.318432Z,0.51m,2026-01-13T05:45:00Z
2026-01-13T07:46:26.153065Z,0.50m,2026-01-13T07:15:00Z
2026-01-13T09:53:39.771252Z,0.49m,2026-01-13T09:15:00Z
2026-01-13T10:52:49.181803Z,0.50m,2026-01-13T10:15:00Z
2026-01-13T11:37:55.653953Z,0.50m,2026-01-13T11:15:00Z
2026-01-13T13:53:38.483313Z,0.48m,2026-01-13T13:15:00Z
2026-01-13T14:55:57.385317Z,0.48m,2026-01-13T14:15:00Z
2026-01-13T15:54:57.952448Z,0.48m,2026-01-13T15:15:00Z
2026-01-13T17:01:41.087249Z,0.48m,2026-01-13T16:15:00Z
2026-01-13T17:54:39.133747Z,0.47m,2026-01-13T17:15:00Z
2026-01-14T04:01:42.610465Z,0.46m,2026-01-14T03:15:00Z
2026-01-14T04:53:16.993992Z,0.46m,2026-01-14T04:15:00Z
2026-01-14T05:44:55.846536Z,0.46m,2026-01-14T05:15:00Z
2026-01-14T07:15:02.918521Z,0.45m,2026-01-14T06:45:00Z
2026-01-14T07:43:01.006861Z,0.45m,2026-01-14T07:15:00Z
2026-01-14T08:45:31.173846Z,0.45m,2026-01-14T08:15:00Z
2026-01-14T09:16:38.033093Z,0.46m,2026-01-14T08:30:00Z
2026-01-14T10:01:04.379409Z,0.45m,2026-01-14T09:15:00Z
2026-01-14T10:40:30.304803Z,0.46m,2026-01-14T10:15:00Z
2026-01-14T11:32:38.619298Z,0.46m,2026-01-14T10:45:00Z
2026-01-14T11:49:01.740807Z,0.45m,2026-01-14T11:15:00Z
2026-01-14T13:07:19.939006Z,0.46m,2026-01-14T12:45:00Z
2026-01-14T13:49:52.219990Z,0.41m,2026-01-14T13:15:00Z
